ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
412629,0.7308798823448991,0.4695720793420586,Bost,Republican,rank-and-file Republican,4,83,46,55
400046,0.6551959558710241,0.7568159646268559,Brady,Republican,moderate Republican leader,2,46,49,49
412395,0.8696700846348013,0.45053155816629126,Brooks [AL5],Republican,conservative Republican,5,72,55,83
412196,0.5617214192978468,0.6845978319440281,Buchanan,Republican,centrist Republican,10,60,49,56
412427,0.7285567388390068,0.4318330129853469,Bucshon,Republican,rank-and-file Republican,2,44,4,4
400057,0.6984401742158226,0.4744597232540894,Calvert,Republican,rank-and-file Republican,13,63,65,76
400071,0.849853968550818,0.7836871153107667,Chabot,Republican,conservative Republican leader,12,117,82,93
412676,0.6016948561448007,0.21204547709000632,Comer,Republican,rank-and-file Republican,2,49,3,3
412400,0.7454657370071299,0.416897869513341,Crawford,Republican,rank-and-file Republican,4,48,4,7
400657,0.565909351441861,0.37159436341480906,Cuellar,Democrat,centrist Democrat,6,66,21,28
412536,0.7514522276409088,0.855046635994188,Davis [IL13],Republican,moderate Republican leader,8,136,178,195
400100,0.36189360696163253,0.8381759613533015,DeFazio,Democrat,centrist Democratic leader,21,236,279,574
412488,0.688771941977651,0.6365075477353094,Duffy,Republican,rank-and-file Republican,5,43,64,70
412639,0.7975526221747348,0.4138138736061185,Emmer,Republican,rank-and-file Republican,6,74,21,22
412480,0.8785080390001343,0.5909389799604826,Flores,Republican,conservative Republican,5,82,4,4
